Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Thu,9/20/2018,18:55 (12:55),Rapid Wien at,1.1,2–0,1,ru Spartak Moscow,21400,Allianz Stadion,Alain Bieri,Match Report,
Group stage,1,Thu,9/20/2018,18:55 (12:55),Vidi hu,0.7,0–2,0.8,by BATE Borisov,14726,Groupama Arena,Morten Krogh,Match Report,
Group stage,1,Thu,9/20/2018,18:55 (12:55),Marseille fr,2.5,1–2,0.9,de Eint Frankfurt,,Orange Vélodrome,Matej Jug,Match Report,
Group stage,1,Thu,9/20/2018,18:55 (12:55),Lazio it,3.1,2–1,0.7,cy Apollon,11898,Stadio Olimpico,Aghayev Aliyev,Match Report,
Group stage,1,Thu,9/20/2018,18:55 (12:55),Villarreal es,1.6,2–2,0.9,sco Rangers,15982,Estadio de la Cerámica,István Kovács,Match Report,
Group stage,1,Thu,9/20/2018,18:55 (12:55),Sevilla es,3.8,5–1,0.4,be Standard Liège,30003,Estadio Ramón Sánchez Pizjuán,Gediminas Mažeika,Match Report,
Group stage,1,Thu,9/20/2018,18:55 (12:55),Genk be,1.5,2–0,0.1,se Malmö,11590,Luminus Arena,Mikhail Vilkov,Match Report,
Group stage,1,Thu,9/20/2018,18:55 (12:55),Rennes fr,1.5,2–1,0.6,cz Jablonec,20628,Roazhon Park,Ola Nilsen,Match Report,
Group stage,1,Thu,9/20/2018,19:55 (12:55),Dynamo Kyiv ua,1.3,2–2,0.8,kz Astana FK,21783,NSK Olimpijs'kyj,Ali Palabıyık,Match Report,
Group stage,1,Thu,9/20/2018,19:55 (12:55),Beşiktaş tr,1.8,3–1,2,no Sarpsborg 08,24955,Vodafone Arena,Ádám Farkas,Match Report,
Group stage,1,Thu,9/20/2018,19:55 (12:55),PAOK gr,0.1,0–1,2.1,eng Chelsea,24310,Stadio Toumbas,Alberto Undiano,Match Report,
Group stage,1,Thu,9/20/2018,19:55 (12:55),Akhisarspor tr,1.2,0–1,0.6,ru Krasnodar,6555,Spor Toto Akhisar Stadyumu,Ville Nevalainen,Match Report,
Group stage,1,Thu,9/20/2018,20:00 (15:00),Arsenal eng,2.6,4–2,0.5,ua Vorskla Poltava,59039,Emirates Stadium,Lawrence Visser,Match Report,
Group stage,1,Thu,9/20/2018,20:00 (15:00),Celtic sco,1.9,1–0,0.1,no Rosenborg,27287,Celtic Park,Paweł Gil,Match Report,
Group stage,1,Thu,9/20/2018,20:00 (15:00),Sporting CP pt,1.4,2–0,0.3,az Qarabağ Ağdam,30098,Estádio José Alvalade,Karim Abed,Match Report,
Group stage,1,Thu,9/20/2018,21:00 (15:00),FC Copenhagen dk,1.6,1–1,1,ru Zenit,19005,Telia Parken,Georgi Kabakov,Match Report,
Group stage,1,Thu,9/20/2018,21:00 (15:00),F91 Dudelange lu,0.2,0–1,1.7,it Milan,7983,Stade Josy Barthel,Srđan Jovanović,Match Report,
Group stage,1,Thu,9/20/2018,21:00 (15:00),Dinamo Zagreb hr,3,4–1,0.9,tr Fenerbahçe,17303,Stadion Maksimir,Chris Kavanagh,Match Report,
Group stage,1,Thu,9/20/2018,21:00 (15:00),Slavia Prague cz,1.3,1–0,0.3,fr Bordeaux,16548,Sinobo Stadium,Scott Parker,Match Report,
Group stage,1,Thu,9/20/2018,21:00 (15:00),RB Leipzig de,1.3,2–3,1.5,at RB Salzburg,24057,Red Bull Arena,Andreas Ekberg,Match Report,
Group stage,1,Thu,9/20/2018,21:00 (15:00),Spartak Trnava sk,0.8,1–0,1,be Anderlecht,17114,City Arena Trnava,Kevin Clancy,Match Report,
Group stage,1,Thu,9/20/2018,22:00 (15:00),AÉK Lárnaka cy,0.5,0–1,1.7,ch Zürich,3173,Neo GSP,Alexandre Boucaut,Match Report,
Group stage,1,Thu,9/20/2018,22:00 (15:00),Olympiacos gr,1.2,0–0,1,es Betis,28650,Stadio Georgios Karaiskáki,Daniel Stefański,Match Report,
Group stage,1,Thu,9/20/2018,22:00 (15:00),Ludogorets bg,1,2–3,1.4,de Leverkusen,8240,Ludogorets Arena,Paolo Mazzoleni,Match Report,
,,,,,,,,,,,,,,
Group stage,2,Thu,10/4/2018,20:50 (10:50),Astana FK kz,0.6,2–0,0.8,fr Rennes,25302,Astana Arena,Mattias Gestranius,Match Report,
Group stage,2,Thu,10/4/2018,18:55 (12:55),Rosenborg no,0.8,1–3,2.1,de RB Leipzig,14000,Lerkendal Stadion,Marco Guida,Match Report,
Group stage,2,Thu,10/4/2018,18:55 (12:55),Leverkusen de,2.3,4–2,0.8,cy AÉK Lárnaka,23354,BayArena,Yevhen Aranovskyi,Match Report,
Group stage,2,Thu,10/4/2018,18:55 (12:55),Bordeaux fr,1.8,1–2,1,dk FC Copenhagen,11860,Stade Matmut-Atlantique,Roi Reinshreiber,Match Report,
Group stage,2,Thu,10/4/2018,18:55 (12:55),RB Salzburg at,3.8,3–1,0.4,sco Celtic,24500,Red Bull Arena,Serhiy Boiko,Match Report,
Group stage,2,Thu,10/4/2018,18:55 (12:55),Betis es,3,3–0,0.5,lu F91 Dudelange,40133,Estadio Benito Villamarín,Andrew Dallas,Match Report,
Group stage,2,Thu,10/4/2018,18:55 (12:55),Zürich ch,0.3,1–0,0.7,bg Ludogorets,7092,Stadion Letzigrund,José Sánchez,Match Report,
Group stage,2,Thu,10/4/2018,18:55 (12:55),Milan it,3,3–1,0.8,gr Olympiacos,22294,Stadio Giuseppe Meazza,Bobby Madden,Match Report,
Group stage,2,Thu,10/4/2018,18:55 (12:55),Anderlecht be,0.7,0–2,2,hr Dinamo Zagreb,12137,Stade Constant Vanden Stock,Vladislav Bezborodov,Match Report,
Group stage,2,Thu,10/4/2018,19:55 (12:55),Fenerbahçe tr,2.4,2–0,0.3,sk Spartak Trnava,29622,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Tobias Welz,Match Report,
Group stage,2,Thu,10/4/2018,19:55 (12:55),Zenit ru,1,1–0,1.2,cz Slavia Prague,45408,Gazprom Arena,Hüseyin Göçek,Match Report,
Group stage,2,Thu,10/4/2018,19:55 (12:55),Vorskla Poltava ua,0.2,1–2,1.8,pt Sporting CP,10082,Stadion Vorskla im. Oleksiya Butov'skogo,Nikola Dabanović,Match Report,
Group stage,2,Thu,10/4/2018,20:55 (12:55),Qarabağ Ağdam az,0.9,0–3,2.5,eng Arsenal,63412,Bakı Olimpiya Stadionu,Davide Massa,Match Report,
Group stage,2,Thu,10/4/2018,20:00 (15:00),Rangers sco,2.5,3–1,0.5,at Rapid Wien,47534,Ibrox Stadium,Ruddy Buquet,Match Report,
Group stage,2,Thu,10/4/2018,20:00 (15:00),Chelsea eng,2.6,1–0,0.9,hu Vidi,39925,Stamford Bridge,Miroslav Zelinka,Match Report,
Group stage,2,Thu,10/4/2018,21:00 (15:00),Sarpsborg 08 no,1.3,3–1,0.9,be Genk,7885,Sarpsborg Stadion,Ivan Bebek,Match Report,
Group stage,2,Thu,10/4/2018,21:00 (15:00),Standard Liège be,0.8,2–1,1,tr Akhisarspor,8233,Stade Maurice Dufrasne,Manuel Schüttengruber,Match Report,
Group stage,2,Thu,10/4/2018,21:00 (15:00),Eint Frankfurt de,2.2,4–1,0.4,it Lazio,47000,Commerzbank-Arena,Serdar Gözübüyük,Match Report,
Group stage,2,Thu,10/4/2018,21:00 (15:00),Malmö se,1.1,2–0,0.9,tr Beşiktaş,17174,Swedbank Stadion,Aleksandar Stavrev,Match Report,
Group stage,2,Thu,10/4/2018,21:00 (15:00),Jablonec cz,0.8,2–2,1,ua Dynamo Kyiv,5077,Stadion Střelnice,Alexandre Boucaut,Match Report,
Group stage,2,Thu,10/4/2018,22:00 (15:00),Apollon cy,1,2–2,0.5,fr Marseille,3031,Neo GSP,Julian Weinberger,Match Report,
Group stage,2,Thu,10/4/2018,22:00 (15:00),Krasnodar ru,1.6,2–1,1.3,es Sevilla,31346,Krasnodar Stadium,Martin Strömbergsson,Match Report,
Group stage,2,Thu,10/4/2018,22:00 (15:00),BATE Borisov by,0.6,1–4,1.2,gr PAOK,10527,Borisov Arena,Markus Hameter,Match Report,
Group stage,2,Thu,10/4/2018,22:00 (15:00),Spartak Moscow ru,2.6,3–3,2.2,es Villarreal,21264,Otkrytie Arena,Daniel Siebert,Match Report,
,,,,,,,,,,,,,,
Group stage,3,Thu,10/25/2018,17:55 (12:55),Sporting CP pt,0.5,0–1,1.3,eng Arsenal,40784,Estádio José Alvalade,Matej Jug,Match Report,
Group stage,3,Thu,10/25/2018,18:55 (12:55),RB Leipzig de,1.9,2–0,0.5,sco Celtic,38126,Red Bull Arena,Petr Ardeleánu,Match Report,
Group stage,3,Thu,10/25/2018,18:55 (12:55),Spartak Trnava sk,0.8,1–2,2.5,hr Dinamo Zagreb,,City Arena Trnava,Jakob Kehlet,Match Report,
Group stage,3,Thu,10/25/2018,18:55 (12:55),RB Salzburg at,3,3–0,0.3,no Rosenborg,20639,Red Bull Arena,Irfan Peljto,Match Report,
Group stage,3,Thu,10/25/2018,18:55 (12:55),FC Copenhagen dk,0.4,0–1,0.7,cz Slavia Prague,20672,Telia Parken,Luca Banti,Match Report,
Group stage,3,Thu,10/25/2018,18:55 (12:55),F91 Dudelange lu,0.4,0–2,2.8,gr Olympiacos,7500,Stade Josy Barthel,Hüseyin Göçek,Match Report,
Group stage,3,Thu,10/25/2018,18:55 (12:55),Milan it,1,1–2,1.6,es Betis,22405,Stadio Giuseppe Meazza,Scott Parker,Match Report,
Group stage,3,Thu,10/25/2018,18:55 (12:55),Anderlecht be,1.1,2–2,1.1,tr Fenerbahçe,13292,Stade Constant Vanden Stock,Georgi Kabakov,Match Report,
Group stage,3,Thu,10/25/2018,18:55 (12:55),Zürich ch,3.1,3–2,0.4,de Leverkusen,12427,Stadion Letzigrund,Aghayev Aliyev,Match Report,
Group stage,3,Thu,10/25/2018,19:55 (12:55),AÉK Lárnaka cy,2,1–1,1.2,bg Ludogorets,2631,Neo GSP,Juxhin Xhaja,Match Report,
Group stage,3,Thu,10/25/2018,19:55 (12:55),Zenit ru,1.7,2–1,1.2,fr Bordeaux,45723,Gazprom Arena,Felix Brych,Match Report,
Group stage,3,Thu,10/25/2018,20:55 (12:55),Qarabağ Ağdam az,0.5,0–1,0.1,ua Vorskla Poltava,22450,Bakı Olimpiya Stadionu,Roi Reinshreiber,Match Report,
Group stage,3,Thu,10/25/2018,20:00 (15:00),Chelsea eng,2.4,3–1,0.5,by BATE Borisov,39799,Stamford Bridge,Paolo Mazzoleni,Match Report,
Group stage,3,Thu,10/25/2018,20:00 (15:00),Rangers sco,0.8,0–0,0.6,ru Spartak Moscow,49068,Ibrox Stadium,Kevin Blom,Match Report,
Group stage,3,Thu,10/25/2018,21:00 (15:00),Villarreal es,3.2,5–0,0.7,at Rapid Wien,14158,Estadio de la Cerámica,Halis Özkahya,Match Report,
Group stage,3,Thu,10/25/2018,21:00 (15:00),Sevilla es,2.6,6–0,0.8,tr Akhisarspor,29720,Estadio Ramón Sánchez Pizjuán,Kevin Clancy,Match Report,
Group stage,3,Thu,10/25/2018,21:00 (15:00),Sarpsborg 08 no,1.2,1–1,0.3,se Malmö,8022,Sarpsborg Stadion,Paweł Raczkowski,Match Report,
Group stage,3,Thu,10/25/2018,21:00 (15:00),Standard Liège be,0.6,2–1,2.6,ru Krasnodar,8393,Stade Maurice Dufrasne,Marco Guida,Match Report,
Group stage,3,Thu,10/25/2018,21:00 (15:00),Jablonec cz,1.2,1–1,1.2,kz Astana FK,4909,Stadion Střelnice,Markus Hameter,Match Report,
Group stage,3,Thu,10/25/2018,21:00 (15:00),Marseille fr,0.6,1–3,1.6,it Lazio,31930,Orange Vélodrome,Ricardo de Burgos,Match Report,
Group stage,3,Thu,10/25/2018,21:00 (15:00),Rennes fr,2.2,1–2,1.4,ua Dynamo Kyiv,28001,Stade Yves Allainmat - Le Moustoir,Ádám Farkas,Match Report,
Group stage,3,Thu,10/25/2018,21:00 (15:00),Eint Frankfurt de,2.6,2–0,1,cy Apollon,47000,Commerzbank-Arena,Sergey Ivanov,Match Report,
Group stage,3,Thu,10/25/2018,22:00 (15:00),Beşiktaş tr,1.2,2–4,2.6,be Genk,25209,Vodafone Arena,Daniel Stefański,Match Report,
Group stage,3,Thu,10/25/2018,22:00 (15:00),PAOK gr,1.1,0–2,0.7,hu Vidi,15118,Stadio Toumbas,Yevhen Aranovskyi,Match Report,
,,,,,,,,,,,,,,
Group stage,4,Thu,11/8/2018,18:50 (10:50),Fenerbahçe tr,1.8,2–0,1.2,be Anderlecht,32789,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Glenn Nyberg,Match Report,
Group stage,4,Thu,11/8/2018,21:50 (10:50),Astana FK kz,1.4,2–1,0.9,cz Jablonec,20092,Astana Arena,István Vad II,Match Report,
Group stage,4,Thu,11/8/2018,18:55 (12:55),Lazio it,0.7,2–1,1.4,fr Marseille,14705,Stadio Olimpico,Vladislav Bezborodov,Match Report,
Group stage,4,Thu,11/8/2018,18:55 (12:55),Malmö se,0.9,1–1,0.9,no Sarpsborg 08,17601,Swedbank Stadion,Miroslav Zelinka,Match Report,
Group stage,4,Thu,11/8/2018,18:55 (12:55),Vidi hu,0.4,1–0,0.4,gr PAOK,17208,Bozsik Stadion,Ali Palabıyık,Match Report,
Group stage,4,Thu,11/8/2018,18:55 (12:55),Genk be,1.2,1–1,1.2,tr Beşiktaş,14292,Luminus Arena,Patrick Ittrich,Match Report,
Group stage,4,Thu,11/8/2018,18:55 (12:55),Rapid Wien at,0.9,0–0,1.3,es Villarreal,22100,Allianz Stadion,Zoran Široki,Match Report,
Group stage,4,Thu,11/8/2018,19:55 (12:55),Apollon cy,1.7,2–3,1.2,de Eint Frankfurt,6888,Neo GSP,Tiago Martins,Match Report,
Group stage,4,Thu,11/8/2018,19:55 (12:55),Dynamo Kyiv ua,1.7,3–1,1.8,fr Rennes,24402,NSK Olimpijs'kyj,Kevin Clancy,Match Report,
Group stage,4,Thu,11/8/2018,20:55 (12:55),Akhisarspor tr,1.6,2–3,2.9,es Sevilla,6430,Spor Toto Akhisar Stadyumu,Amaury Delerue,Match Report,
Group stage,4,Thu,11/8/2018,20:55 (12:55),Spartak Moscow ru,1.4,4–3,1,sco Rangers,22296,Otkrytie Arena,Ivan Bebek,Match Report,
Group stage,4,Thu,11/8/2018,20:55 (12:55),Krasnodar ru,2.4,2–1,1.1,be Standard Liège,21526,Krasnodar Stadium,Aleksandar Stavrev,Match Report,
Group stage,4,Thu,11/8/2018,20:55 (12:55),BATE Borisov by,0.6,0–1,0.9,eng Chelsea,13141,Borisov Arena,Miloš Bošković,Match Report,
Group stage,4,Thu,11/8/2018,20:00 (15:00),Arsenal eng,1.4,0–0,0.2,pt Sporting CP,59758,Emirates Stadium,Gediminas Mažeika,Match Report,
Group stage,4,Thu,11/8/2018,20:00 (15:00),Celtic sco,1.5,2–1,1.1,de RB Leipzig,56027,Celtic Park,Javier Estrada,Match Report,
Group stage,4,Thu,11/8/2018,21:00 (15:00),Leverkusen de,0.9,1–0,1,ch Zürich,16179,BayArena,Paweł Gil,Match Report,
Group stage,4,Thu,11/8/2018,21:00 (15:00),Rosenborg no,0.7,2–5,2.9,at RB Salzburg,12386,Lerkendal Stadion,Mikhail Vilkov,Match Report,
Group stage,4,Thu,11/8/2018,21:00 (15:00),Bordeaux fr,2.1,1–1,0.7,ru Zenit,8907,Stade Matmut-Atlantique,Harald Lechner,Match Report,
Group stage,4,Thu,11/8/2018,21:00 (15:00),Dinamo Zagreb hr,,3–1,,sk Spartak Trnava,18154,Stadion Maksimir,Yevhen Aranovskyi,Match Report,
Group stage,4,Thu,11/8/2018,21:00 (15:00),Betis es,1,1–1,1,it Milan,45647,Estadio Benito Villamarín,Chris Kavanagh,Match Report,
Group stage,4,Thu,11/8/2018,21:00 (15:00),Slavia Prague cz,0.5,0–0,0,dk FC Copenhagen,18702,Sinobo Stadium,Mattias Gestranius,Match Report,
Group stage,4,Thu,11/8/2018,22:00 (15:00),Olympiacos gr,3.4,5–1,0.2,lu F91 Dudelange,24032,Stadio Georgios Karaiskáki,Petr Ardeleánu,Match Report,
Group stage,4,Thu,11/8/2018,22:00 (15:00),Ludogorets bg,0.8,0–0,0.6,cy AÉK Lárnaka,4520,Ludogorets Arena,Ola Nilsen,Match Report,
Group stage,4,Thu,11/8/2018,22:00 (15:00),Vorskla Poltava ua,0.2,0–1,1.3,az Qarabağ Ağdam,5479,Stadion Vorskla im. Oleksiya Butov'skogo,Sandro Schärer,Match Report,
,,,,,,,,,,,,,,
Group stage,5,Thu,11/29/2018,18:50 (10:50),Spartak Moscow ru,0.8,1–2,1.6,at Rapid Wien,20739,Otkrytie Arena,Paweł Gil,Match Report,
Group stage,5,Thu,11/29/2018,21:50 (10:50),Astana FK kz,2.3,0–1,0.4,ua Dynamo Kyiv,26508,Astana Arena,Ivan Bebek,Match Report,
Group stage,5,Thu,11/29/2018,18:55 (12:55),RB Salzburg at,1.3,1–0,0.5,de RB Leipzig,29520,Red Bull Arena,Orel Grinfeeld,Match Report,
Group stage,5,Thu,11/29/2018,18:55 (12:55),Leverkusen de,1.2,1–1,0.4,bg Ludogorets,16066,BayArena,Allard Lindhout,Match Report,
Group stage,5,Thu,11/29/2018,18:55 (12:55),Betis es,1.8,1–0,0.7,gr Olympiacos,37722,Estadio Benito Villamarín,Sergey Karasev,Match Report,
Group stage,5,Thu,11/29/2018,18:55 (12:55),Bordeaux fr,1.3,2–0,0.7,cz Slavia Prague,6311,Stade Matmut-Atlantique,Fabio Verissimo,Match Report,
Group stage,5,Thu,11/29/2018,18:55 (12:55),Anderlecht be,0.9,0–0,0.5,sk Spartak Trnava,8063,Stade Constant Vanden Stock,Anastasios Papapetrou,Match Report,
Group stage,5,Thu,11/29/2018,18:55 (12:55),Zürich ch,0.7,1–2,0.5,cy AÉK Lárnaka,6107,Stadion Letzigrund,Mikhail Vilkov,Match Report,
Group stage,5,Thu,11/29/2018,18:55 (12:55),Milan it,1.5,5–2,0.4,lu F91 Dudelange,15521,Stadio Giuseppe Meazza,Vladislav Bezborodov,Match Report,
Group stage,5,Thu,11/29/2018,18:55 (12:55),Rosenborg no,0.4,0–1,1.2,sco Celtic,14061,Lerkendal Stadion,Halis Özkahya,Match Report,
